Term,Freq
confidentiality,3953
observer,3928
nitrogen,3925
beef,3913
Slovakia,3901
fishery product,3894
exchange of information,3894
television,3889
Russia,3867
bar,3863
municipality,3823
import price,3813
market prices,3810
avian influenza,3790
social security,3782
ownership,3746
cheese,3733
savings,3729
coal,3725
Uruguay Round,3721
police,3692
technical specification,3688
housing,3677
public authorities,3668
Malta,3668
common market,3652
human rights,3638
spirits,3635
by-product,3623
lift,3599
olive oil,3548
potassium,3536
nut,3465
Bosnia and Herzegovina,3459
economic activity,3449
administrator,3434
Committee of the Regions,3423
Africa,3421
banking,3406
credit rating,3401
advertising,3396
arts,3344
calcium,3331
meal,3321
solvent,3282
operational programme,3275
international organisation,3273
alternate,3264
natural person,3250
wool,3249
carcase,3246
forest,3234
telecommunications,3231
paperboard,3230
printing,3230
challenge,3229
hydrogen,3209
lighting,3200
own resources,3179
health certificate,3176
polymer,3172
noise,3158
offence,3135
pollutant,3131
poultrymeat,3129
vaccination,3129
merger,3126
energy efficiency,3125
fresh meat,3094
explosive,3082
Thailand,3059
veterinary medicinal product,3029
livestock,3021
judge,3018
sulphur,3015
production capacity,3014
meat product,2985
Macedonia,2979
syrup,2973
sucrose,2971
Taric,2964
data protection,2959
guide,2955
sheep,2948
European Food Safety Authority,2948
decision (EU),2942
market economy,2923
competitiveness,2918
technical standard,2918
Brazil,2897
information system,2891
cream,2890
agenda,2889
cooperative,2880
veterinarian,2874
mollusc,2865
welfare,2862
white sugar,2846
fraud,2845
employer,2835
foundation,2831
fisheries policy,2828
Indonesia,2814
governance,2810
additional duty,2801
common wheat,2800
image,2789
means of transport,2785
telephone,2783
EDF,2767
European Council,2758
staff regulations,2746
euro area,2734
Kosovo,2727
zinc,2726
intellectual,2715
chartering,2703
equidae,2702
rolling stock,2692
crime,2691
common fisheries policy,2691
reservation,2683
migration,2679
Malaysia,2679
Taiwan,2675
air traffic,2668
exchange rate,2660
supervisor,2657
Japan,2649
vaccine,2646
financial management,2645
tree,2638
distillation,2633
Europol,2616
satellite,2602
co-financing,2575
stone,2574
nickel,2566
selling price,2565
flavouring,2550
Ecu,2542
fattening,2514
Serbia,2513
OECD,2512
natural gas,2510
sport,2486
goat,2471
cocoa,2466
press,2465
raw sugar,2458
nutrition,2457
official language,2447
translation,2433
oxygen,2433
beverage,2421
man,2410
civil aviation,2380
live animal,2379
offal,2375
resin,2370
woman,2367
fertiliser,2366
distributor,2360
economic resources,2350
intellectual property,2350
standardisation,2331
barley,2315
Pakistan,2314
productivity,2310
veal,2309
phosphate,2308
broadcasting,2302
foot-and-mouth disease,2301
privilege,2300
domestic market,2295
conflict of interest,2287
death,2281
bottling,2275
research and development,2275
civil society,2272
Montenegro,2270
technical regulations,2268
South Africa,2263
clothing,2240
environmental protection,2213
developing countries,2213
Israel,2179
interference,2167
trust,2163
agricultural policy,2144
decree,2139
Greenland,2136
medicine,2121
screen,2119
dust,2119
concrete,2116
Australia,2113
election,2106
Belarus,2101
frontier,2096
decision-making,2091
coffee,2081
magnesium,2079
arbitration,2077
adult,2072
common agricultural policy,2064
food additive,2063
boiler,2063
regional aid,2061
climate change,2060
liquidation,2055
risk management,2054
Northern Ireland,2051
holding company,2042
incorporation,2035
Tunisia,2032
greenhouse gas,2027
goods and services,2001
Moldova,1999
opposition,1998
Algeria,1998
services contract,1992
financial services,1989
cellulose,1981
Guinea,1978
Morocco,1972
gold,1972
average price,1968
local authority,1965
peace,1957
renewable energy,1956
freezing,1953
bridge,1951
glucose,1944
excise duty,1936
mortgage,1924
county,1923
hops,1911
Syria,1910
international standard,1901
international trade,1898
patent,1888
ruling,1887
cooperation agreement,1887
search,1878
air transport,1874
legal basis,1870
furnace,1869
drilling,1852
habitat,1832
borrowing,1832
GATT,1830
Libya,1830
Congo,1828
university,1815
financial situation,1814
precious metal,1813
sustainable development,1811
plot,1805
quote,1797
Albania,1797
regional development,1794
New Zealand,1791
pest,1789
framework agreement,1784
EAFRD,1779
labour market,1778
mercury,1777
enzyme,1774
joint venture,1764
association agreement,1762
eco-label,1759
tourism,1757
ethanol,1748
financial market,1747
bus,1739
circular,1733
malt,1717
forum,1713
ocean,1713
pigmeat,1700
Madagascar,1700
investment project,1697
fodder,1689
durum wheat,1686
animal nutrition,1686
tin,1667
qualified majority,1650
honey,1644
repression,1639
ECSC,1629
international waters,1605
helicopter,1603
Georgia,1593
violence,1584
Egypt,1584
small and medium-sized enterprises,1576
dangerous substance,1575
cadmium,1575
inland waterway,1571
isoglucose,1562
victim,1562
national currency,1548
energy consumption,1545
rule of law,1535
flax,1532
framework decision,1529
cow,1526
international agreement,1523
hiring,1521
cement,1516
correspondence,1513
case-law,1511
equal treatment,1510
Vietnam,1509
vitamin,1509
movement certificate,1508
learning,1502
textile product,1500
adhesive,1498
Mexico,1482
arrest,1481
missile,1479
traceability,1476
monetary policy,1473
Kazakhstan,1469
phosphorus,1467
silk,1461
recruitment,1451
animal product,1442
uranium,1440
administrative cooperation,1437
terrorism,1435
Sudan,1427
crustacean,1426
international convention,1424
refugee,1421
bankruptcy,1421
biofuel,1421
environmental impact,1419
Political and Security Committee,1410
pesticide residue,1410
petrol,1408
skimmed milk,1398
cosmetic product,1396
Philippines,1391
animal welfare,1385
road transport,1383
photograph,1381
Jordan,1374
tunnel,1374
Cohesion Fund,1368
EU Member State,1367
turbine,1367
international law,1361
unemployment,1354
executive agency,1346
groundwater,1345
summarising,1345
cattle,1337
privatisation,1335
public sector,1330
cataloguing,1329
private sector,1329
head office,1327
hemp,1324
foreign currency,1322
economic situation,1317
strike,1314
principle of proportionality,1313
data collection,1313
titanium,1312
action programme,1305
chromium,1298
tea,1296
lake,1294
re-export,1282
vocational training,1278
silver,1277
ecosystem,1276
Hong Kong,1273
student,1266
EAGGF,1261
animal disease,1259
revaluation,1258
Argentina,1257
mortality,1254
Treasury,1250
shareholding,1243
Zimbabwe,1241
Somalia,1239
sorghum,1238
power plant,1238
public policy,1236
investment aid,1234
implementation of the budget,1234
Lebanon,1233
pension fund,1231
Asia,1229
Iraq,1222
man-made fibre,1222
legality,1216
coke,1212
start-up,1212
biomass,1210
overheads,1209
fishery resources,1207
producer group,1206
interinstitutional agreement,1195
honour,1193
brucellosis,1190
added value,1184
cork,1178
export credit,1164
transport document,1164
code of conduct,1161
Gibraltar,1160
gulf,1159
European standard,1159
EU waters,1158
capital increase,1158
price increase,1156
diploma,1152
higher education,1146
agricultural holding,1143
corruption,1140
pressure equipment,1134
democracy,1131
atmosphere,1129
ice,1128
asbestos,1127
lawyer,1127
genetically modified organism,1125
tanker,1124
operating cost,1122
inflation,1119
Eurojust,1118
preservative,1110
safety standard,1107
history,1105
Colombia,1103
Chile,1101
investment bank,1100
Andorra,1098
Structural Funds,1098
principle of subsidiarity,1095
mutual assistance,1092
consumer protection,1084
medical device,1083
board of directors,1079
rabbit,1078
maritime transport,1069
by-catch,1066
hazardous waste,1065
Mali,1064
production cost,1064
European security,1060
European Regional Development Fund,1059
bivalve mollusc,1057
Yemen,1057
contract staff,1056
Saudi Arabia,1055
provision of services,1052
Kyoto Protocol,1052
biodiversity,1050
ticket,1048
EAGF,1043
intervention price,1041
bilateral agreement,1037
consortium,1037
administrative procedure,1036
economic development,1036
traveller,1035
armed forces,1023
custody,1022
corrosion,1018
aerosol,1016
ozone,1016
purchase price,1016
goodwill,1015
shipbuilding,1014
share capital,1012
poverty,1011
marketing standard,1010
offshoring,1009
aviation security,1007
simulation,1000
residence permit,996
Singapore,995
outsourcing,990
globalisation,984
political parties,983
counterfeiting,983
FAO,977
central government,977
data processing,975
Cape Verde,974
European Investment Bank,970
pension scheme,969
European Social Fund,969
information society,966
single payment scheme,965
working conditions,963
inward processing,961
machine tool,959
plain,958
Baltic Sea,957
eligibility criteria,953
architecture,945
floor coverings,945
public administration,944
ceramics,939
Liberia,938
citrus fruit,936
certificate of origin,934
tax system,932
antibiotic,931
broker,930
heat pump,926
constitution,923
spare part,923
postal service,923
archives,921
social partners,921
natural disaster,921
sparkling wine,921
universal service,920
liqueur,918
public financing,914
holiday,912
food aid,910
investment cost,908
London,907
sugar beet,901
rye,892
crude oil,892
rabies,890
town,889
Berlin,888
toll,882
copyright,882
emission allowance,880
Sri Lanka,880
skimmed milk powder,878
tax exemption,878
glass fibre,876
subcontracting,874
logistics,873
financial stability,872
insurance company,871
parent company,871
publishing,865
free zone,865
quality standard,864
advance payment,862
ordinance,860
dealer,857
surface water,857
methanol,856
immigration,855
waste management,855
transport of dangerous goods,855
legislative procedure,852
manganese,852
budgetary control,851
consultancy,849
legal aid,848
breeding animal,848
land use,846
United Arab Emirates,845
metadata,844
national parliament,842
conversion rate,842
molybdenum,837
acoustics,836
Union delegation,834
textile fibre,834
information technology,833
driving licence,832
Kenya,832
redemption,830
tungsten,829
international cooperation,829
Mediterranean Sea,828
Madeira,827
money laundering,826
natural resources,822
discount rate,821
minimum price,821
personality,816
stabilisation and association agreement,815
Niger,813
new technology,812
DNA,811
production refund,808
Seychelles,806
business activity,806
access to information,805
implementing directive,802
molasses,801
Atlantic Ocean,800
Ceuta,799
egg product,799
civil servant,798
intervention stock,797
know-how,797
Serbia and Montenegro,795
vineyard,793
domestic animal,791
Melilla,789
public law,787
mountain,787
cobalt,786
legal status,785
financial aid,785
Azerbaijan,782
Armenia,780
delegation of power,780
administrative expenditure,777
Guinea-Bissau,776
customs debt,772
balance of payments,771
trade agreement,770
economic cooperation,769
Canary Islands,767
fisherman,766
jute,765
capital goods,762
electrical equipment,762
mode of transport,760
Mozambique,760
traffic control,759
air safety,758
raw milk,757
lactose,756
doctor,752
UN Security Council,752
macro-financial assistance,748
Sahel,747
assistant,746
newspaper,744
Azores,743
shortage,739
transport network,738
war,736
San Marino,735
transfer pricing,734
European agency,733
Peru,733
border control,733
protective equipment,732
entrepreneurship,730
insurance contract,729
engineer,727
migrant,722
radio equipment,718
Mauritania,718
information service,718
freedom to provide services,716
workplace,716
Rwanda,715
commercial bank,712
reference price,711
Botswana,711
economic integration,711
Ecuador,707
anhydride,707
recording equipment,706
criminal proceedings,705
tariff preference,700
venture capital,699
monopoly,699
agricultural guidance,697
grassland,697
trademark,695
health insurance,694
TRIMs,693
marine environment,692
carriage of goods,691
confectionery,691
mineral oil,691
bread,691
health care,685
hormone,683
carpet,681
Council of Europe,681
professional qualifications,681
donation,679
self-employed person,679
Joint Research Centre,678
smoking,677
cross-border cooperation,674
economic policy,674
single market,674
surname,673
ordinary legislative procedure,672
activity report,670
non-governmental organisation,669
South Korea,669
milk fat,669
capital market,666
supplies contract,663
consolidated account,660
money market,660
sunflower,656
North Sea,656
amortisation,655
Scotland,653
competition law,652
Tanzania,652
narcotic,650
new product,650
public transport,649
data transmission,649
Yugoslavia,649
Single European Sky,647
Swaziland,646
energy saving,645
denaturing,642
works contract,642
hunting,642
production aid,641
brick,640
Namibia,638
judicial cooperation,637
electronic equipment,636
printer,635
autonomy,635
dominant position,634
health risk,634
world market price,633
commercial vehicle,632
European Globalisation Adjustment Fund,631
Sardinia,630
maritime safety,630
payment appropriation,630
amending budget,629
table wine,628
Cambodia,628
Ghana,626
downloading,625
cereal product,624
plaster,624
scientific research,624
redundancy,619
market access,619
Bangladesh,618
European Aviation Safety Agency,618
participating country,617
Central African Republic,617
retail trade,614
torture,614
chlorine,614
Schengen Information System,612
sugar product,610
drinking water,609
Vienna,607
organised crime,606
plywood,605
regional cooperation,604
agricultural production,603
oats,602
radioactive materials,600
cold store,600
beer,600
temporary admission,600
Mauritius,598
public contract,595
Community transit,595
wholesale trade,594
unit price,593
research programme,593
European Anti-fraud Office,592
credit insurance,590
European Medicines Agency,590
pasta,589
quantitative restriction,587
musical instrument,587
paraffin,587
farm animal,584
ethics,583
civil service,583
ingot,581
groat,576
terminology,576
Eastern Europe,570
herbicide,568
Faroe Islands,565
air conditioning,564
accounting system,564
Council of Ministers,562
Dominican Republic,562
gender equality,562
energy supply,561
humanitarian aid,560
taxpayer,560
stock exchange,558
insect,558
production control,557
nuclear reactor,557
fruit juice,556
originating product,554
gelatine,551
peat,551
project of common interest,549
Guatemala,547
hand tool,547
road safety,546
petroleum product,545
electronic money,543
open market,542
Angola,541
platinum,539
electronics,539
information security,538
supervisory body,538
literature,538
senior management,537
agricultural land,537
Fiji,537
England,535
means of communication,535
ETSI,535
public consultation,533
public works,531
water supply,530
World Trade Organisation,529
fresh fruit,528
tax authorities,527
catering,527
lubricants,526
European Data Protection Supervisor,526
rights of access,526
vegetable oil,525
radioactive waste,525
administrative measure,524
local government,523
EURES,523
European Chemicals Agency,522
heavy metal,521
insecticide,521
vegetable fats,519
plant variety right,517
computer systems,515
security of supply,514
psychotropic substance,513
mineral water,513
merchant,512
development bank,509
weapon of mass destruction,508
fishing licence,507
Bahrain,507
food supplement,506
regional authority,505
technical cooperation,505
nuclear safety,504
sweetener,504
economic growth,504
savings bank,504
Institution of the Union,504
feasibility study,503
Eurocontrol,503
motorway,503
air traffic control,503
Costa Rica,500
diesel engine,499
library,498
Guyana,498
law of the sea,498
Gabon,497
customs formalities,497
marriage,495
goatmeat,494
outward processing,491
working time,491
consumer price,490
rail transport,489
cane sugar,487
rest period,487
Kuwait,485
fishery management,485
draft budget,483
group of companies,483
bull,482
research project,482
medical examination,481
Zambia,481
European Banking Authority,481
fuel oil,481
free movement of goods,481
water treatment,480
budgetary procedure,479
right to vote,478
Bavaria,478
sheepmeat,478
animal protein,477
financial transaction,477
trade statistics,477
medicament,476
Nigeria,476
telex,476
Tajikistan,474
Black Sea,473
drainage,472
iron ore,471
Uzbekistan,470
set-aside,469
biodegradability,468
Middle East,468
trade union,468
direct investment,467
combined transport,467
simple majority,464
Cuba,463
autonomous community,462
transport policy,462
EU market,462
pharmaceutical product,460
illness,460
development plan,460
legal system,459
payment system,455
teaching,455
financial control,455
multilateral agreement,453
groundnut,453
economies of scale,453
labour force,453
directive (EU),452
stateless person,452
Macao,451
social development,451
financial derivative,450
regional government,449
cancer,449
organic product,449
Ceuta and Melilla,448
orphan,447
corporate governance,447
piracy,447
Corsica,446
fluorine,446
conglomerate,445
ballistic missile,445
algae,442
periodic penalty payment,442
investment company,442
aquatic environment,440
music,439
Qatar,439
cinema,438
Uganda,437
electronic signature,435
peripheral,433
Monaco,432
preferential agreement,431
Paraguay,431
launch vehicle,430
neutrality,429
freshwater,428
pneumatic tyre,427
quorum,426
Community budget,426
overseas countries and territories,426
economic sector,425
company law,425
essential oil,425
chemical product,424
vegetable product,424
economic conditions,423
Rhineland-Palatinate,423
dependant,423
pollution control,421
Oman,421
Dubai,420
technical barrier,420
enhanced cooperation,420
rodent,419
iodine,418
regionalisation,417
collective agreement,417
fishing permit,417
energy storage,416
interpreting,416
horticulture,416
plantation,416
Isle of Man,415
OSCE,415
domestic product,414
potash,413
Bolivia,413
flood,412
game meat,411
chemical industry,411
EU aid,410
energy use,409
product quality,408
carriage of passengers,407
organic farming,407
social policy,406
transport infrastructure,405
source of information,401
census,400
development policy,400
Jersey ,400
chemical weapon,399
export credit insurance,399
insurance premium,399
Equatorial Guinea,398
charcoal,398
customs warehouse,397
protection of animals,397
political group,396
international instrument,395
monetary union,394
job creation,393
soya bean,393
disarmament,393
industrial product,392
heifer,392
freedom of movement,392
technology transfer,391
biogas,391
Civil Service Tribunal,389
irrigation,389
Holy See,388
paints and varnishes,387
Aegean Islands,387
Internet address,387
EAGGF Guarantee Section,387
epidemic,386
nuclear energy,385
chemistry,384
civil engineering,383
fossil fuel,382
non-ferrous metal,381
prevention of pollution,381
suckler cow,380
public expenditure,379
land and buildings,379
World Health Organisation,378
special procedure,378
approximation of laws,377
Comoros,377
consultation procedure,377
Stockholm,377
European Railway Agency,377
security services,376
North Korea,375
credit transfer,375
producer price,374
apiculture,374
Nepal,374
health control,373
disabled person,373
young farmer,372
European External Action Service,372
civil liability,371
Venezuela,371
Jamaica,371
Honduras,370
single document,369
Mayotte,369
plutonium,369
Cameroon,369
small arms,368
environmental policy,368
product safety,368
fodder plant,366
monograph,366
fertility,365
corporation tax,365
Suez Canal,364
admissibility,364
atom,364
Panama,363
farm return,363
halogen,363
nuclear fuel,363
diesel fuel,362
El Salvador,362
Schengen Agreement,361
final consumption,361
technical rule,360
social services,360
South Sudan,360
reduced price,360
antimony,359
noise level,359
lignite,357
piping,357
veterinary inspection,357
customs union,356
national income,356
cartel,356
Wales,354
entrepreneur,354
Sierra Leone,352
private law,351
Kyrgyzstan,351
financial perspectives,350
European Environment Agency,350
European convention,349
associated country,349
Internet site,348
Senegal,348
replanting,348
cultural heritage,347
Euribor,347
police cooperation,346
alcoholic beverage,345
Réunion,344
trace element,344
directory,343
award of contract,343
electricity supply,343
tax law,343
teacher,342
Nicaragua,342
acidification,340
cheque,340
petrochemicals,340
metrology,339
trans-European network,339
meslin,338
criminal law,337
cost-benefit analysis,337
international transport,336
seniority,336
working capital,335
industrial property,335
EU institution,334
dissemination of information,334
life assurance,334
military equipment,332
radiation protection,331
biotechnology,330
electric vehicle,330
theft,330
fuel cell,330
living conditions,330
Central Asia,329
painting,329
research results,329
presidential election,329
wealth,327
injunction,326
scientific report,326
Ethiopia,326
Economic and Monetary Union,325
fishing area,325
Benelux,325
prices policy,324
fishing fleet,324
price indexing,324
incompatibility,323
intermediate consumption,322
extradition,322
storage capacity,320
Hamburg,320
processing industry,319
Malawi,318
food industry,318
tantalum,318
exclusive economic zone,318
beryllium,318
occupational disease,317
millet,317
household article,316
leguminous vegetable,315
spectrometry,315
protected area,315
prototype,314
animal fats,314
administrative unit,314
leisure,314
disease prevention,314
natural rubber,314
dairy cow,313
supply and demand,313
African Union,312
European territorial cooperation,312
water consumption,312
gas pipeline,310
EU reference laboratory,310
public-private partnership,310
Community method,310
capital transfer,309
NATO,309
Treaty of Lisbon,309
Laos,308
right of establishment,308
industrial plant,307
territorial waters,307
Western Balkans,306
economic value,306
international market,305
early retirement,305
Latin America,305
Togo,305
European Maritime Safety Agency,304
indirect tax,303
statistical method,303
foreign trade,303
Community body,303
accountant,302
payload,302
electronic component,302
Trinidad and Tobago,301
judicial proceedings,301
settlement of disputes,299
mobile phone,299
scientific progress,298
insulator,298
health service,298
nuclear weapon,298
flat product,297
rail network,297
Benin,296
live poultry,294
vertical agreement,294
population density,294
ionising radiation,294
vanadium,294
skin disease,294
regional investment,293
Eritrea,293
International Monetary Fund,293
commercial transaction,293
pollution from ships,293
financing plan,292
managing director,292
market organisation,292
overtime,291
decontamination,291
Burma/Myanmar,291
electronic mail,290
drought,290
dredging,289
Indian Ocean,289
pupil,289
direct cost,288
reptile,288
agricultural statistics,288
ACP countries,287
yam,286
press release,285
veterinary legislation,285
arable land,284
digitisation,284
national accounts,284
office equipment,282
Cotonou Agreement,282
public holiday,281
dismissal,280
fish oil,280
toxicology,280
radioactivity,279
zoo,279
consulate,279
margarine,278
member country,278
motor car,278
waterway transport,277
EU trade mark,277
labour law,276
export subsidy,275
double taxation,275
gross domestic product,274
business name,274
wildlife,273
North Rhine-Westphalia,273
surgery,273
plasticiser,272
cif price,272
family benefit,272
gas supply,271
EFTA countries,271
work of art,270
vocational education,270
Djibouti,270
Gambia,270
Belize,270
illicit trade,269
conference of presidents,268
EU budget,268
industrial research,268
professional experience,268
Veneto,268
transport market,267
roadworthiness tests,267
permanent crop,266
disclosure of information,266
drug traffic,265
electrical energy,265
private investment,264
CEPT,264
facsimile,264
measure having equivalent effect,263
World Bank,262
Chad,262
emission trading,262
vegetable juice,261
air force,261
boned meat,261
financial loss,260
afforestation,260
fireworks,260
Roma,260
increase in production,260
private bank,260
pedestrian,260
bovine spongiform encephalopathy,259
Mongolia,259
President of the Commission,259
baby food,258
European neighbourhood policy,258
fishing season,258
operational expenditure,257
pharmacy,257
Economic and Financial Committee,257
New Caledonia,257
stone fruit,257
biology,257
religion,257
secondary education,256
conventional weapon,255
fire protection,255
sample survey,255
ground handling,255
unemployed person,254
standard of living,254
cost of capital,254
international negotiations,254
microorganism,254
divorce,253
embassy,253
Saxony,253
world organisation,253
publisher,253
nuclear research,253
quality of life,252
transmission network,251
slaughter premium,251
official document,251
drug addiction,249
erosion,249
offer price,249
foreign national,249
museum,249
earthquake,248
irradiation,248
economic indicator,248
taxi,248
public order,248
free movement of persons,247
economics,247
prisoner,247
least-developed country,247
tax evasion,247
votes cast,246
navy,246
lard,246
road traffic,245
finance act,245
satellite navigation,245
marine ecosystem,244
sugar cane,244
bakery,242
trade policy,242
apprenticeship,242
brand name,241
inland waterway transport,241
Interpol,241
customs tariff,239
utilised agricultural area,239
Papua New Guinea,238
opinion of the Commission,238
Turkmenistan,238
urban area,237
EFTA Court,237
employment service,237
water resources,236
camping,236
apprentice,235
alternative investment,235
legal capacity,235
basic price,235
milk protein,234
twinning,234
non-alcoholic beverage,234
energy production,234
unanimity,234
cider,233
remote sensing,233
EU law,232
International Maritime Organisation,232
multimedia,232
defence policy,232
estuary,232
imprisonment,232
mental health,231
company in difficulties,231
international investment,231
guide price,231
seedling,231
pet food,231
working environment,230
Horn of Africa,229
fallow,229
sesame,229
notary,229
Cook Islands,228
investment income,227
domestic consumption,227
lucerne,227
measuring equipment,226
social cost,226
beet sugar,226
application of the law,226
Burundi,225
European arrest warrant,225
Netherlands Antilles,225
European Investment Fund,224
public debt,224
regional and local authorities,223
slaughter animal,222
suicide,222
head of State,222
electronic device,222
consumption expenditure,222
European foundation,221
export tax,221
crop rotation,220
European fisheries fund,220
Sicily,220
criminal court,220
global warming,220
International Atomic Energy Agency,219
Brandenburg,219
fruit vegetable,219
gift,219
midwife,218
industrial policy,218
veterinary medicine,218
federal State,217
primary product,217
charge having equivalent effect,217
energy policy,217
waste disposal,216
first aid,215
interest rate subsidy,215
foreign policy,215
marine fuel,215
silo,215
solar energy,215
tax relief,214
price stability,214
clover,212
investment policy,212
synthetic rubber,212
regional policy,211
watercourse,211
employment policy,211
Palestine,211
ECSC Treaty,210
metal product,210
administrative structures,210
automation,210
Burgenland,209
traineeship,209
nuclear power station,208
travel agency,208
white wine,207
European cooperation,207
European Ombudsman,206
export levy,206
customs cooperation,206
common commercial policy,206
deterrent,206
mediator,206
tropical wood,205
European school,205
desertification,204
buffer stock,204
services of general interest,203
administrative sanction,203
total catch,203
natural fibre,203
Central America,202
Galicia,202
international relations,202
chemical fertiliser,202
tax incentive,201
Unesco,201
judicial review,201
sterilisation,201
economic recovery,201
barge,200
Haiti,199
foreign investment,199
regional integration,198
structural policy,198
Saarland,198
orchard,198
Baden-Württemberg,197
invention,197
German Democratic Republic,197
European Police College,196
retail price,196
international conference,196
storage cost,196
budgetary resources,196
infectious disease,196
bathing water,196
livestock unit,196
executive body,195
competition policy,195
telematics,195
sexual violence,195
freedom of expression,195
Bahamas,194
scanner,194
financial protocol,194
Kiribati,194
conciliation procedure,194
migrant worker,193
vehicle registration,193
re-import,193
public institution,193
harvester,193
parental leave,193
International Criminal Court,193
international security,192
European Training Foundation,192
tariff nomenclature,192
Alsace,192
EBRD,191
Martinique,191
road network,191
Alba,191
operating system,191
rabbit meat,191
Solomon Islands,190
North America,190
water management,190
TRIPS,190
