Term,Freq
axle weight,494
baby food,497
backlog of court cases,499
backwardness at school,500
bailiff,505
bakery,506
balance of payments,507
balance of payments assistance,508
balance-of-payments deficit,509
balance sheet,510
balance-sheet analysis,511
ballistic missile,514
ballot paper,515
bank,520
bank charges,521
bank deposit,522
banking,524
banking policy,525
banking profession,526
banking secrecy,527
banking supervision,528
banking system,529
bankruptcy,530
bar,532
barge,535
barley,537
barring of penalties by limitation,538
barter,539
basic education,540
basic needs,541
basic price,542
basic research,543
basis of tax assessment,545
basket of currencies,546
bathing water,548
bauxite,549
bear,551
bearing,552
beef,553
beef animal,554
beer,555
beet sugar,556
behavioural sciences,557
benchmarking,563
beryllium,569
beverage,571
beverage industry,572
bibliography,574
bilateral agreement,578
bilateral aid,579
bilateral relations,580
biochemistry,582
biodegradability,585
biodiversity,586
bioenergy,587
biofuel,589
biogas,590
biography,591
biological standard,593
biological weapon,594
biology,595
biomass,596
biometrics,598
biosphere,600
biotechnology,601
biotope,602
bird,604
birth control,605
biscuit factory,608
bismuth,609
bituminous materials,611
bivalve mollusc,612
blank ballot paper,615
blog,618
blood disease,619
blood transfusion,620
blue-collar worker,621
blue-veined cheese,622
boarding school,623
board of directors,624
board of management,625
boiler,627
bolt and screw industry,629
bomber,630
bond,633
bonded wood,634
boned meat,635
bonus payment,636
book trade,638
border control,639
border war,640
boreal forest,641
borrowing,644
botany,646
bottled wine,649
bottling,650
bovine spongiform encephalopathy,652
bracket price,653
bracket rate,654
branch,657
branch of activity,658
brand name,660
breach of domicile,664
breach of trust,665
bread,666
bread-making,667
breeding animal,670
brick,673
bridge,675
broadcasting,681
broker,683
bromine,684
browser,685
brucellosis,686
buckwheat,690
budget,694
budget appropriation,695
budgetary amendment,696
budgetary assessment,697
budgetary classification,698
budgetary control,699
budgetary cooperation,700
budgetary discharge,701
budgetary equilibrium,703
budgetary expenditure,704
budgetary power,705
budgetary procedure,706
budgetary resources,708
budgetary specification,709
budgetary stabiliser,710
budget authorisation,711
budget deficit,712
budget estimate,713
budget financing,714
budget policy,715
budget volume,716
buffalo meat,717
buffer stock,718
building,719
building industry,720
building insulation,721
building materials,722
building permit,723
building plot,724
building regulations,725
building safety,726
building services,727
building slab,728
building speculation,729
building subsidy,730
building technique,731
built-up area,732
bulb vegetable,733
bulk product,735
bull,736
bus,745
business activity,746
business administration,747
business cluster,748
business data processing,749
business lease,751
business location,752
business management,753
business morals,754
business name,755
business park,756
business policy,757
business start-up,758
business tax,759
business tourism,760
bus station,761
butane,762
butter,763
butter oil,764
buying group,765
by-catch,767
by-election,768
by-product,769
cabinet reshuffle,770
cable distribution,771
cable transport,772
cadmium,774
calcium,780
calf,781
camping,785
camping vehicle,786
cancer,789
candidate,790
cane sugar,791
capacity to contract,795
capacity to exercise rights,796
capacity to have rights and obligations,797
capital city,799
capital depreciation,800
capital gains tax,801
capital goods,802
capital increase,803
capital market,804
capital movement,805
capital transfer,806
capital transfer tax,807
carbon,809
carbon capture and storage,810
carcase,811
carcinogenic substance,812
cardiovascular disease,813
care allowance,814
care for the elderly,815
care of mothers and infants,816
care of the disabled,817
cargo vessel,818
carpet,826
carriage for hire or reward,827
carriage of goods,828
carriage of passengers,829
carrier,830
carrying capacity,831
carrying out of sentence,832
carry-over of appropriations,833
cartel,834
cartography,835
case-law,836
case study,838
cash flow,839
cash-in-transit,840
cassava,842
cast-iron,845
castor bean,846
casual employment,847
catalogue,848
cataloguing,849
catch area,851
catch by species,852
catch of fish,853
catch quota,854
catering,855
catering industry,856
catering profession,857
cattle,859
cease-fire,867
cellulose,871
cement,872
cemetery,873
censorship,875
census,876
central bank,888
central government,893
centralisation of information,896
central rate,899
ceramics,907
cereal flakes,908
cereal flour,909
cereal product,911
cereals,912
cereals of bread-making quality,913
cereal substitute,914
certificate of origin,916
cervidae,917
cessation of farming,918
cessation of trading,919
chain store,923
challenge,924
chamber of commerce and industry,925
champagne,926
change of job,928
change of political system,929
charcoal,932
charge,933
charge having equivalent effect,934
charges for use of infrastructure,935
chartering,936
charter on human rights,937
cheese,939
cheese factory,940
chemical accident,941
chemical alcohol,942
chemical compound,943
chemical element,944
chemical fertiliser,945
chemical industry,946
chemical pollution,947
chemical process,948
chemical product,949
chemical salt,950
chemicals legislation,951
chemical waste,952
chemical weapon,953
chemistry,954
cheque,955
child,956
child care,957
child labour,958
child of migrant,959
child protection,961
chlorine,967
choice of technology,968
chromium,972
chronic illness,973
church,974
cider,976
cinema,978
circular,979
circular economy,980
citrus fruit,985
civil aviation,989
civil bankruptcy,990
civil code,991
civil defence,992
civil disobedience,993
civil engineering,994
civilian personnel,995
civilian victim,996
civilisation,997
civil law,998
civil liability,999
civil liability proceedings,1000
civil procedure,1001
civil proceedings,1002
civil register,1003
civil rights,1004
civil servant,1005
civil servants’ union,1006
civil service,1007
civil society,1009
civil status,1010
civil union,1011
civil war,1012
claim,1013
clandestine worker,1014
classification,1015
classified forest,1016
class struggle,1017
clean development mechanism,1018
cleaning industry,1019
clean technology,1020
clearing agreement,1021
clearing of land,1022
clergy,1023
climate,1024
climate change,1025
climate change policy,1026
climatic zone,1027
climatology,1028
cloning,1030
closing of accounts,1031
clothing,1032
clothing industry,1033
cloud computing,1034
clover,1035
coal,1037
coal industry,1039
coalmining policy,1041
coal processing,1042
coastal pollution,1043
coastal protection,1044
coastal region,1045
cobalt,1046
cocoa,1047
codecision procedure,1048
code of conduct,1049
coding,1052
coffee,1053
co-financing,1054
cohabitation,1055
co-insurance,1057
coke,1058
cold store,1059
cold war,1060
collaborative economy,1061
collective activities,1062
collective agreement,1063
collective bargaining,1064
collective dismissal,1065
collective farm,1066
collective interest,1067
collective memory,1068
collective redress,1069
combat helicopter,1075
combat vehicle,1076
combined transport,1078
combustion gases,1079
comic book,1082
comitology,1083
commemoration,1084
commentary on a law,1085
commercial arbitration,1086
commercial bank,1087
commercial code,1088
commercial contract,1089
commercial court,1090
commercial education,1091
commercial farming,1092
commercial law,1093
commercial media,1094
commercial transaction,1095
commercial vehicle,1096
commission agent,1097
commitment of expenditure,1100
committee of inquiry,1102
committee report,1103
commodities exchange,1104
commodities market,1105
commodity agreement,1106
commodity price,1107
common agricultural policy,1108
common commercial policy,1109
common customs tariff,1110
common fisheries policy,1111
common foreign and security policy,1112
common fund,1114
common land,1115
common law,1116
common market,1117
common organisation of markets,1119
common ports policy,1120
common position,1121
common price policy,1122
common security and defence policy,1123
common strategy,1124
common tariff policy,1125
common transport policy,1126
common wheat,1129
communications industry,1131
communication skills,1132
communications policy,1133
communications profession,1134
communications systems,1135
community facilities,1143
company buyout,1159
company constituted under civil law,1160
company growth,1161
company in difficulties,1162
company law,1163
company member,1164
company modernisation,1165
company research,1166
company structure,1167
company with share capital,1168
comparative advertising,1169
comparative analysis,1170
comparative education,1171
comparative law,1172
comparative study,1173
compensatory financing,1174
competence of the institution,1175
competition,1177
competition law,1179
competition policy,1180
competitiveness,1181
complementarity agreement,1183
complementarity of trade,1184
compliance audit,1185
complicity,1186
composite materials,1187
composition,1188
composition of a parliamentary committee,1189
composition of the population,1191
compulsory education,1192
compulsory expenditure,1193
compulsory insurance,1194
compulsory saving,1195
compulsory voting,1196
computer,1197
computer applications,1198
computer assisted design,1199
computer assisted manufacturing,1200
computer assisted publishing,1201
computer centre,1202
computer crime,1203
computer equipment,1204
computer network,1205
computer piracy,1206
computer system,1207
computer systems,1208
computer terminal,1209
computer virus,1210
concentrated milk,1211
concentrated product,1212
concentration camp,1213
concentration of powers,1214
concentration of the population,1215
concerted economic action,1216
concessionaire,1217
conciliation procedure,1218
concrete,1220
conduct of meetings,1223
confectionery,1224
confectionery product,1225
conference of presidents,1227
conference proceedings,1229
confidence motion,1230
confidentiality,1231
confiscation of property,1232
conflict of generations,1233
conflict of interest,1234
conflict of jurisdiction,1235
conflict of powers,1236
conflict prevention,1237
congenital disease,1238
conglomerate,1239
conifer,1242
conscience clause,1244
conscientious objection,1245
consent procedure,1246
conservation of fish stocks,1247
conservation of resources,1248
conservatism,1249
consolidated account,1251
consortium,1253
constitution,1255
constitutional court,1256
constitutional law,1257
constitutional revision,1259
construction costs,1260
construction equipment,1261
construction policy,1262
consulate,1263
consultancy,1264
consultation of information,1265
consultation procedure,1266
consumer,1267
consumer behaviour,1268
consumer cooperative,1269
consumer credit,1270
consumer demand,1271
consumer goods,1272
consumer information,1273
consumer law,1274
consumer motivation,1275
consumer movement,1276
consumer policy,1277
consumer price,1278
consumer protection,1279
consumer society,1280
consumer survey,1281
consumption,1282
consumption expenditure,1283
container,1285
contemporary history,1286
contiguous zone,1287
continental shelf,1289
continuing education,1290
continuing vocational training,1291
continuous production,1292
continuous working day,1293
contraception,1294
contract,1295
contract farming,1296
contract of carriage,1297
contract staff,1298
contract terms,1299
contractual liability,1300
controlled economy,1301
control of communications,1302
control of restrictive practices,1304
conventional weapon,1306
convergence criteria,1307
conversion rate,1308
conversion to horticulture,1310
cooperation agreement,1312
cooperation in home affairs,1314
cooperation in the field of education,1315
cooperation on agriculture,1316
cooperation policy,1317
cooperation procedure,1318
cooperative,1319
cooperative bank,1320
coordination of aid,1321
coordination of financing,1323
copper,1325
copyright,1327
copyright exception,1328
cork,1330
corporate finance,1332
corporate governance,1333
corporate social responsibility,1334
corporation tax,1335
correspondence,1338
corrosion,1339
corruption,1340
cosmetic product,1343
cosmetics industry,1344
cost analysis,1347
cost-benefit analysis,1349
cost-effectiveness analysis,1350
costing,1351
cost of borrowing,1352
cost of capital,1353
cost of living,1354
cost of pollution,1355
cost price,1356
cotton,1359
counterfeiting,1370
countervailing charge,1372
counting of the votes,1373
country road,1375
countryside conservation,1376
county,1377
court having special jurisdiction,1399
court of arbitration,1400
court of civil jurisdiction,1401
courts and tribunals,1404
cow,1406
craft business,1408
craft production,1409
craftsman,1410
cream,1411
credit,1413
credit control,1414
credit guarantee,1415
credit institution,1416
credit insurance,1417
credit policy,1418
credit purchase,1419
credit rating,1420
credit sale,1421
credit transfer,1422
credit union,1423
crew,1425
crime,1426
crime against humanity,1427
crime against individuals,1428
crime against property,1429
criminal court,1431
criminal investigation department,1432
criminal law,1433
criminal liability,1434
criminal negligence,1435
criminal procedure,1436
criminal proceedings,1437
criminal record,1438
criminal responsibility of minors,1439
criminology,1440
crisis management,1441
crop losses,1443
crop maintenance,1444
crop production,1445
crop rotation,1446
crop yield,1447
cross-border cooperation,1448
cross-border dimension,1449
cross-frontier data flow,1451
cross voting,1452
crude oil,1454
crustacean,1456
crustacean farming,1457
cryptography,1458
cultivation system,1460
cultivation techniques,1461
cultural cooperation,1463
cultural difference,1464
cultural event,1465
cultural exception,1466
cultural geography,1467
cultural heritage,1468
cultural identity,1469
cultural movement,1470
cultural object,1471
cultural organisation,1472
cultural pluralism,1473
cultural policy,1474
cultural prize,1475
cultural promotion,1476
cultural relations,1477
cultural tourism,1478
culture,1479
culture industry,1480
cumulative pension entitlement,1481
currency adjustment,1483
currency area,1484
currency convertibility,1485
custody,1486
customary law,1487
customers,1488
customs,1489
customs and traditions,1490
customs cooperation,1491
customs debt,1492
customs document,1493
customs drawback,1494
customs duties,1495
customs formalities,1496
customs fraud,1497
customs harmonisation,1498
customs inspection,1499
customs procedure suspending duties,1500
customs profession,1501
customs regulations,1502
customs tariff,1503
customs transit,1505
customs union,1506
customs valuation,1507
customs warehouse,1508
cycle and motorcycle industry,1511
cyclical fluctuation,1513
cyclical unemployment,1514
cyclone,1515
cytology,1518
dairy cow,1521
dairy farm,1522
dairy ice cream,1523
dairy industry,1524
dairy production,1525
damage,1527
damages,1528
dangerous substance,1530
database,1532
database management system,1533
data collection,1534
data processing,1535
data-processing law,1536
data protection,1537
data recording,1538
data transmission,1539
deadline for payment,1540
dealer,1541
death,1542
death grant,1543
death penalty,1544
debt,1545
debt reduction,1546
decentralisation,1547
decentralised cooperation,1548
decision,1550
decision-making,1552
declining industrial region,1555
decommissioning of power stations,1557
decontamination,1558
decorative item,1559
decree,1560
deduction at source,1561
deep-freezing,1563
deep-frozen product,1564
deep-sea fishing,1565
defamation,1566
defective product,1567
defence budget,1568
defence expenditure,1569
defence policy,1570
defence statistics,1571
deflation,1572
defoliation,1573
deforestation,1574
degradation of the environment,1575
degree of pollution,1576
dehydration,1577
delegated decision,1578
delegated directive,1579
delegated legislation,1580
delegated regulation,1581
delegation of power,1582
delinquency,1584
delivered price,1585
delivery,1586
demerger,1587
democracy,1589
democratic deficit,1590
democratisation,1593
democratisation of education,1594
demographic analysis,1595
demography,1596
demotion,1597
denaturing,1598
dental medicine,1601
dentist,1602
dependant,1604
dependence of elderly persons,1605
dependent territory,1606
depoliticisation,1607
depopulation,1608
deportee,1609
deposit money,1610
deposit on a polluting product,1611
deprivation of rights,1612
deprived urban area,1613
deregulation,1615
descendant,1617
desert,1618
desertification,1619
desiccated product,1620
designated employment,1621
designation of origin,1622
designs and models,1623
destination of transport,1624
destruction of crops,1625
detention before trial,1626
deterrent,1627
devaluation,1628
developing countries,1629
development aid,1630
development bank,1632
development plan,1633
development policy,1634
development potential,1635
development region,1636
development worker,1637
devolution,1638
diabetes,1639
dictionary,1642
dictionary of abbreviations,1643
diesel engine,1644
diesel fuel,1645
dietary product,1646
diffusion of innovations,1647
digital archiving,1648
digital contract,1649
digital divide,1650
digital evidence,1651
digital literacy,1652
digital rights management,1653
digital single market,1654
digital technology,1655
digitisation,1656
diploma,1658
diplomatic immunity,1659
diplomatic profession,1660
diplomatic protection,1661
diplomatic protocol,1662
diplomatic relations,1663
diplomatic representation,1664
direct applicability,1665
direct cost,1666
direct democracy,1667
direct investment,1668
directive,1669
directory,1672
direct selling,1673
direct tax,1674
disability insurance,1675
disabled person,1676
disaffection of young people,1677
disarmament,1678
discarded fish,1680
disc drive,1681
disciplinary proceedings,1682
disclosure of information,1683
discounting,1684
discount rate,1685
discount sale,1686
discount store,1687
discretionary power,1688
discrimination based on disability,1689
discrimination on the basis of nationality,1690
discrimination on the basis of sexual orientation,1691
discriminatory price,1692
disease of the nervous system,1693
disease prevention,1694
disease vector,1695
disinformation,1696
dismissal,1697
display,1698
dissemination of culture,1700
dissemination of information,1702
distance learning,1705
distance selling,1706
distillation,1707
distribution business,1708
distribution by age,1709
distribution by sex,1710
distribution cost,1711
distribution of aid,1712
distribution of income,1714
distribution of production,1715
distribution of schools,1716
distribution of the tax burden,1717
distribution of votes,1718
distribution of wealth,1719
distribution per employed person,1720
distributive trades,1721
distributor,1722
divergence indicator,1723
diversification of exports,1724
dividing up of land,1725
division into constituencies,1726
division of powers,1727
division of property,1728
divorce,1729
divorced person,1730
doctor,1734
document,1735
document acquisition,1736
documentary credit,1737
documentary reference recording,1738
documentary tool,1739
documentation,1740
documentation centre,1741
document for discussion at a sitting,1742
document indexing,1743
document management,1744
document retrieval,1745
document storage,1746
domestic animal,1751
domestic consumption,1752
domestic market,1753
domestic policy,1754
domestic product,1755
domestic trade,1756
domestic violence,1757
domestic waste,1758
dominant position,1759
donation,1762
donor country,1763
door-to-door selling,1764
double taxation,1766
downloading,1767
draft budget,1768
drainage,1771
draught animal,1772
drawing up of the budget,1773
dredging,1775
dried product,1777
drilling,1778
drilling equipment,1779
drinking milk,1780
drinking water,1781
drivers,1782
driving instruction,1783
driving licence,1784
driving mechanism,1785
driving period,1786
dropout,1788
drought,1789
drug addiction,1790
drug residue,1791
drugs classification,1792
drug surveillance,1793
drug traffic,1794
dual nationality,1796
dual-use good,1797
dual-use technology,1798
dumping,1800
dumping of waste,1801
durable goods,1802
durum wheat,1803
dust,1804
duties of civil servants,1805
duty-free sale,1806
dyestuff,1807
dyestuffs industry,1808
early childhood,1824
early election,1825
early fruit and vegetables,1826
early retirement,1827
early-stage capital,1828
earthquake,1829
earths and stones,1830
earth sciences,1831
eating habits,1848
ecclesiastical council,1855
eco-label,1862
ecological balance,1863
ecological tourism,1864
ecology,1866
econometrics,1869
economic accounts for agriculture,1870
economic activity,1871
economic aggregate,1872
economic agreement,1873
economic aid,1874
economic analysis,1875
economic and social cohesion,1878
economic concentration,1881
economic conditions,1882
economic consequence,1883
economic contingency stock,1884
economic convergence,1885
economic conversion,1886
economic cooperation,1887
economic cycle,1888
economic development,1889
economic discrimination,1890
economic disparity,1891
economic fluctuation,1892
economic forecasting,1893
economic geography,1894
economic growth,1896
economic independence,1897
economic indicator,1898
economic infrastructure,1899
economic instrument for the environment,1900
economic integration,1901
economic intelligence,1902
economic interdependence,1903
economic model,1906
economic offence,1907
economic planning,1908
economic policy,1909
economic priority,1910
economic recession,1911
economic reconstruction,1912
economic recovery,1913
economic reform,1914
economic region,1915
economic relations,1916
economic resources,1917
economic rights,1918
economics,1919
economic sanctions,1920
economic sector,1921
economic situation,1922
economics profession,1923
economic stabilisation,1924
economic stagnation,1925
economic statistics,1926
economic structure,1927
economic support,1928
economic survey,1929
economic system,1930
economic take-off,1931
economic transition,1932
economic union,1933
economic value,1934
economy,1936
ecosystem,1939
education,1956
educational administration,1957
educational exchange,1958
educational guidance,1959
educational institution,1960
educational planning,1961
educational reform,1962
educational system,1963
education budget,1964
education costs,1965
education grant,1966
education of foreigners,1967
education of young offenders,1968
education policy,1969
education statistics,1970
egg,1981
elderly person,1986
election,1987
election campaign,1988
election campaign publicity,1989
election expenses,1990
election financing,1991
election monitoring,1992
election programme,1993
election result,1994
elective office,1995
electoral alliance,1996
electoral deposit,1997
electoral fraud,1998
electoral law,1999
electoral quota,2000
electoral reform,2001
electoral register,2002
electoral system,2003
electrical energy,2005
electrical engineering,2006
electrical equipment,2007
electrical industry,2008
electrical process,2009
electric cable,2010
electricity storage device,2011
electricity supply,2012
electric machinery,2013
electric vehicle,2014
electro-magnetic equipment,2016
electromagnetic interference,2017
electronic commerce,2020
electronic component,2021
electronic device,2022
electronic document,2023
electronic document management,2024
electronic equipment,2025
electronic game,2026
electronic government,2027
electronic mail,2028
electronic money,2029
electronic publishing,2030
electronics,2031
electronic signature,2032
electronics industry,2033
electronic voting,2034
electronic waste,2035
electrotechnology,2036
eligibility criteria,2037
eligible region,2038
elimination of illiteracy,2039
embassy,2042
embryo and foetus,2043
emergency aid,2044
emergency medical treatment,2045
emigration,2046
emission allowance,2048
emission trading,2049
employer,2050
employment aid,2053
employment policy,2055
employment service,2056
employment statistics,2057
employment structure,2058
encyclopaedia,2060
endemic disease,2061
endocrine disease,2062
energy audit,2065
energy consumption,2066
energy conversion,2067
energy cooperation,2068
energy crisis,2069
energy crop,2070
energy demand,2071
energy distribution,2072
energy diversification,2073
energy efficiency,2074
energy grid,2076
energy industry,2077
energy law,2078
energy policy,2079
energy production,2080
energy recovery,2081
energy research,2082
energy resources,2083
energy saving,2084
energy site,2085
energy storage,2086
energy supply,2087
energy technology,2088
energy transport,2089
energy use,2090
enforcement of ruling,2091
engine,2092
engineer,2093
engineering structure,2094
enhanced cooperation,2098
enjoyment of rights,2099
enlargement of an international organisation,2100
entrepreneur,2102
entrepreneurship,2103
environmental cooperation,2104
environmental cost,2105
environmental economics,2106
environmental education,2107
environmental impact,2108
environmental indicator,2109
environmental industry,2110
environmental law,2111
environmental liability,2112
environmental monitoring,2113
environmental offence,2114
environmental policy,2115
environmental protection,2116
environmental research,2117
environmental risk prevention,2118
environmental standard,2119
environmental statistics,2120
environmental tax,2121
enzyme,2122
epidemic,2126
epidemiology,2127
equality before the law,2132
equal pay,2133
equal treatment,2134
equatorial zone,2136
equidae,2137
equipment cost,2138
equitable tourism,2139
equivalence of diplomas,2140
ergonomics,2141
erosion,2143
espionage,2145
essential oil,2147
established right,2148
establishment,2149
establishment of peace,2150
estuary,2152
ethanol,2153
ethics,2154
ethnic cleansing,2156
ethnic conflict,2157
ethnic discrimination,2158
ethnic group,2159
euro,2231
euro area,2233
euthanasia,2415
eutrophication,2417
evacuation of the population,2419
evaluation method,2420
evaluation of resources,2421
evidence,2422
examination,2423
exchange control,2424
exchange of information,2425
exchange of publications,2426
exchange parity,2427
exchange policy,2428
exchange rate,2429
exchange-rate mechanism,2430
exchange restriction,2431
exchange transaction,2432
excise duty,2433
exclusion from an international organisation,2434
exclusion from public-sector employment,2435
exclusive distribution agreement,2437
exclusive economic zone,2438
exclusive purchasing agreement,2439
executive,2440
executive agency,2441
executive body,2442
executive competence,2443
executive power,2444
exemption from customs duties,2445
exhaustion of resources,2447
expansion card,2448
expatriate worker,2449
expenditure,2450
experimental farm,2451
experiment on humans,2452
explanation of voting,2454
exploitation of resources,2455
exploitation of the sea-bed,2456
exploitation of the seas,2457
explosive,2458
export,2459
export aid,2461
export credit,2462
export credit insurance,2463
export customs procedure,2464
export financing,2465
export industry,2466
export levy,2467
export licence,2468
export monitoring,2469
export of capital,2470
export of waste,2471
export policy,2472
export price,2473
export refund,2474
export restriction,2475
export revenue,2476
export subsidy,2477
export tax,2478
expressway,2479
expropriation,2480
expulsion from housing,2481
extensive farming,2483
external debt,2486
extra-budgetary expenditure,2488
extraction of oil,2489
extradition,2490
extranet,2492
extraordinary budget,2493
extraterritorial jurisdiction,2496
eye disease,2502
facilities for the disabled,2503
facsimile,2504
fact-finding mission,2505
factor of production,2506
failure to report for duty,2507
fair trade,2508
fallow,2510
family,2511
family benefit,2512
family business,2513
family by marriage,2514
family farming,2515
family law,2516
family migration,2517
family planning,2518
family policy,2519
family protection,2520
family solidarity,2521
family worker,2522
farm accountancy data network,2526
farm animal,2527
farm development plan,2528
farmer,2529
farm household,2532
farm income,2533
farming project,2534
farming sector,2535
farming system,2536
farm lease,2537
farm modernisation,2538
farm prices,2539
farm price support,2540
farm rent,2541
farm return,2542
fats,2545
fattening,2546
feasibility study,2547
federal chamber,2548
female unemployment,2554
female work,2555
female worker,2556
fermented milk,2557
ferro-alloy,2558
ferrous metal,2559
ferryboat,2560
fertiliser,2561
fertiliser industry,2562
fertility,2563
field research,2564
fight against crime,2566
fight against insects,2567
fight against unemployment,2568
fight against wastage,2569
fighter aircraft,2570
film industry,2572
film production,2573
final consumption,2574
finance act,2575
finance house,2576
financial accounting,2577
