ID;SRC;TAR
4225;agricultural by-product;sous-produit agricole
6316;agricultural census;recensement agricole
228;agricultural cooperative;coopérative agricole
6339;agricultural credit;crédit agricole
3155;agricultural disaster;calamité agricole
638;agricultural economics;économie agricole
780;agricultural education;enseignement agricole
846;agricultural equipment;équipement agricole
5575;agricultural expenditure;dépense agricole
2194;agricultural guidance;orientation agricole
937;agricultural holding;exploitation agricole
2204;agricultural implement;outil agricole
3274;agricultural insurance;assurance agricole
1738;agricultural labour force;main-d'œuvre agricole
4445;agricultural land;terre agricole
2591;agricultural levy;prélèvement agricole
1719;agricultural machinery;machine agricole
1788;agricultural market;marché agricole
3605;agricultural performance;résultat de l'exploitation agricole
2442;agricultural policy;politique agricole
2734;agricultural product;produit agricole
2709;agricultural production;production agricole
2477;agricultural production policy;politique de la production agricole
2725;agricultural productivity;productivité agricole
2068;agricultural product nomenclature;nomenclature des produits agricoles
2974;agricultural quota;quota agricole
2814;agricultural real estate;propriété foncière agricole
3034;agricultural region;région agricole
7204;agricultural sector representative body;organisme de représentation agricole
4117;agricultural situation;situation de l'agriculture
4257;agricultural statistics;statistique agricole
4298;agricultural structure;structure agricole
926;agricultural surplus;excédent agricole
613;agricultural trade;échange agricole
4655;agricultural vehicle;véhicule agricole
344;agricultural waste;déchet agricole
2893;agriculture-industry relationship;rapport agriculture-industrie
2892;agriculture-trade relationship;rapport agriculture-commerce
6310;agri-environmental plan;plan agroenvironnemental
656;agri-foodstuffs;agroalimentaire
2511;agri-monetary policy;politique monétaire agricole
3736;agro-energy;agroénergie
6314;agroforestry;agroforesterie
323;agro-industrial cropping;culture industrielle
666;agro-industry;agro-industrie
2915;agronomic research;recherche agronomique
685;agronomy;agronomie
6374;aid evaluation;évaluation de l'aide
3069;aid for restructuring;aide à la restructuration
910;aid in kind;aide en nature
755;aid per hectare;aide à l'hectare
2460;aid policy;politique d'aide
2793;aid programme;programme d'aide
4843;aid recipient;bénéficiaire de l'aide
5172;AIDS;sida
3003;aid system;régime d'aide
2965;aid to agriculture;aide à l'agriculture
826;aid to disadvantaged groups;aide aux défavorisés
3076;aid to disaster victims;aide aux sinistrés
3071;aid to industry;aide à l'industrie
3075;aid to refugees;aide aux réfugiés
835;aid to undertakings;aide aux entreprises
5471;air cabotage;cabotage aérien
6012;air conditioning;climatisation
4438;aircraft;avion
5801;aircraft carrier;porte-avions
1033;aircraft fleet;flotte aérienne
4652;air-cushion vehicle;véhicule à coussin d'air
3439;air force;armée de l'air
4378;air freight rate;tarif aérien
518;air law;droit aérien
3125;airline;ligne aérienne
195;airport;aéroport
5887;air safety;sécurité aérienne
859;air space;espace aérien
2039;air traffic;circulation aérienne
172;air traffic control;contrôle aérien
4505;air transport;transport aérien
1094;ALADI;ALADI
1105;ALADI countries;pays de l'ALADI
6252;Åland;Îles Åland
8499;Alba;Alba
1125;Albania;Albanie
1134;alcohol;alcool
5018;alcoholic beverage;boisson alcoolisée
1162;alcoholism;alcoolisme
1177;Alentejo;Alentejo
1121;Al Fujayrah;Al Fujayrah
1204;algae;algue
1187;Algarve;Algarve
1196;Algeria;Algérie
5431;allergy;allergie
6006;allocation clause;clause de répartition
222;allocation of land;affectation des terres
1409;allocation of resources;allocation des ressources
3313;allocation of seats;répartition des sièges
3321;allocation of work;répartition du travail
3557;allowances and expenses;indemnité et frais
1340;alloy;alliage
5845;Alpine Region;région alpine
1430;Alsace;Alsace
4328;alternate;suppléant
2976;alternative agricultural production;production agricole alternative
435469;alternative dispute resolution;modes alternatifs de résolution des conflits
c_dcc650ef;alternative investment;fonds d’investissement alternatif
3289;alternative medicine;médecine douce
3957;alternative sentence;peine de substitution
4106;alternative service;service civil
5950;alternative use of agricultural products;utilisation alternative de produit agricole
1446;aluminium;aluminium
7869;Alytus county;district d’Alytus
5059;amending budget;budget rectificatif
1558;amendment;amendement
3703;amendment of a law;révision de la loi
1587;America;Amérique
2170;American organisation;organisation américaine
3411;American Samoa;Samoa américaines
1664;Amnesty International;Amnesty International
3695;amorphous materials;matériau amorphe
1673;amortisation;amortissement
c_a2e1def8;amphibian;amphibien
6270;analysis of causes;analyse des causes
5300;analytical chemistry;chimie analytique
1829;anarchism;anarchisme
1859;anatomy;anatomie
5661;ancient history;histoire ancienne
1873;Andalusia;Andalousie
1190;Andean Community;Communauté andine
1191;Andean Community countries;pays de la Communauté andine
7205;Andean Parliament;Parlement andin
1874;Andorra;Andorre
5162;Anglicanism;anglicanisme
1876;Angola;Angola
3402;Anguilla;Anguilla
1878;anhydride;anhydride
3408;animal breeding;reproduction animale
1755;animal disease;maladie animale
3667;animal experimentation;expérimentation animale
240;animal fats;corps gras animal
1224;animal feedingstuffs;aliment du bétail
5877;animal health;santé animale
1612;animal leucosis;leucose animale
972;animal life;faune
1277;animal nutrition;alimentation animale
1262;animal oil;huile animale
2356;animal plague;peste animale
2737;animal product;produit animal
2711;animal production;production animale
2845;animal protein;protéine animale
3528;animal resources;ressource animale
5903;animal show;spectacle d'animaux
2302;animal skin;peau d'animal
442765;animal taxonomy;classification des animaux
4576;animal tuberculosis;tuberculose animale
5462;animal welfare;bien-être des animaux
355;announcement of candidacy;déclaration de candidature
1983;Antarctica;Antarctique
2108;Antarctic Ocean;océan Antarctique
4102;anthem;hymne
1997;antibiotic;antibiotique
2390;anti-crisis plan;plan anticrise
3908;anti-discriminatory measure;lutte contre la discrimination
519;anti-dumping duty;droits antidumping
1591;anti-dumping legislation;législation antidumping
5332;anti-dumping measure;mesure antidumping
5137;anti-European movement;mouvement contre l'Europe
7373;antiglobalisation movement;mouvement altermondialiste
3401;Antigua and Barbuda;Antigua-et-Barbuda
c_7dda56e2;antimicrobial resistance;résistance aux antimicrobiens
366;anti-missile defence;défense antimissile
3834;antimony;antimoine
6377;anti-personnel weapon;arme antipersonnel
5593;anti-pollution device;dispositif antipollution
2000;anti-racist movement;mouvement contre le racisme
2051;anti-semitism;antisémitisme
2696;anti-subsidy proceeding;procédure antisubvention
1592;anti-trust legislation;législation antitrust
2070;Anzus;ANZUS
2079;Anzus countries;pays de l'ANZUS
2086;apartheid;apartheid
6205;APEC countries;pays de l'APEC
2104;aperitif;apéritif
2115;apiculture;apiculture
3874;apparatus based on the use of rays;appareil à radiations
5954;appeal;voie de recours
5145;appeals by private individuals;recours des particuliers
2939;appeal to an administrative authority;recours administratif
5836;appeal to the Court (EU);recours contentieux (UE)
5834;appeal to the European Ombudsman;recours au médiateur européen
2247;application of EU law;application du droit de l'UE
2236;application of the law;application de la loi
2916;applied research;recherche appliquée
3949;applied sciences;sciences appliquées
8465;appointment of members;nomination des membres
3559;appointment of staff;nomination du personnel
2276;apprentice;apprenti
2284;apprenticeship;apprentissage professionnel
1252;approval;homologation
3103;approval of tariffs;homologation des tarifs
2897;approximation of laws;rapprochement des législations
2898;approximation of policies;rapprochement des politiques
2570;Apulia;Pouilles
2320;aquaculture;aquiculture
c_0e092eaf;aquatic ecosystem;écosystème aquatique
5741;aquatic environment;milieu aquatique
2411;aquatic plant;plante aquatique
2328;Aquitaine;Aquitaine
4121;Arab-African cooperation;coopération arabo-africaine
1793;Arab Common Market;Marché commun arabe
1794;Arab Common Market countries;pays du Marché commun arabe
1657;Arab League;Ligue arabe
1658;Arab League countries;pays de la Ligue arabe
4448;arable land;terre labourable
8300;Arab Maghreb Union;Union du Maghreb arabe
2171;Arab organisation;organisation arabe
c_6e703074;Arab world;monde arabe
8517;Arad;Arad
2354;Aragon;Aragon
2371;arbitrage;arbitrage financier
6617;arbitration;arbitrage
6005;arbitration clause;clause compromissoire
2396;arboriculture;arboriculture
2453;archaeology;archéologie
5444;archipelago;archipel
4100;architectural heritage;patrimoine architectural
2471;architecture;architecture
2492;archives;archives
2503;Arctic;Arctique
c_764bcd4e;Arctic Council;Conseil de l'Arctique
2109;Arctic Ocean;océan Arctique
1157;area management;gestion de l'espace
6222;area of freedom, security and justice;espace de liberté, sécurité et justice
4337;area of holding;surface d'exploitation
2525;Argentina;Argentine
8521;Arges;Arges
1;Århus (county);Århus (comté)
4785;arid zone;zone aride
2628;armed forces;armée
5445;Armenia;Arménie
3499;Armenian question;question arménienne
3506;arms control;contrôle des armements
1365;arms industry;industrie de l'armement
3455;arms limitation;limitation des armements
3451;arms policy;politique de l'armement
2303;arms supply;approvisionnement en armes
7;arms trade;commerce des armes
2948;aromatic plant;plante aromatique
1503;arrangement of working time;aménagement du temps de travail
3970;arrest;arrestation
670;art education;éducation artistique
6040;artificial food colouring;colorant alimentaire artificiel
3308;artificial insemination;insémination artificielle
3030;artificial intelligence;intelligence artificielle
3307;artificial reproduction;procréation artificielle
7129;artist's resale right;droit de suite
283;artistic creation;création artistique
3598;artistic profession;profession artistique
2688;arts;arts
5513;art trade;commerce de l'art
2820;Aruba;Aruba
196;Arusha Convention;convention d'Arusha
1643;asbestos;amiante
1838;ASEAN;ANASE
1847;ASEAN countries;pays de l'ANASE
2838;Asia;Asie
120;Asian and Pacific Council;Conseil de l'Asie et du Pacifique
3725;Asian and Pacific Development Centre;Centre de développement pour l'Asie et le Pacifique
6336;Asian Development Bank;Banque asiatique de développement
2172;Asian organisation;organisation asiatique
4615;Asian-Pacific Parliamentarians' Union;Union de parlementaires de l'Asie et du Pacifique
2094;Asian Productivity Organisation;Organisation asiatique de productivité
6131;Asia–Pacific economic cooperation;Coopération économique Asie-Pacifique
2708;assembly line production;production à la chaîne
4546;assembly line work;travail à la chaîne
184;assessment;contrôle des connaissances
4397;assessment of prices;taxation des prix
2909;assistance in training;assistance en formation
8407;assistant;assistant
6717;assisting spouse;conjoint aidant
5412;associated action for damages;action civile
2285;associated country;pays associé
2944;association;association
1663;association agreement;accord d'association
4048;association agreement (EU);accord d'association (UE)
116;Association Council (EU);conseil d'association (UE)
7415;Association of Caribbean States;Association des États des Caraïbes
5657;association of local authorities;groupement de collectivités
4153;associative movement;mouvement associatif
6383;astronautics;astronautique
3790;astronomy;astronomie
8441;asymmetric warfare;guerre asymétrique
3904;atheism;athéisme
5443;Atlantic Arc;Arc atlantique
2110;Atlantic Ocean;océan Atlantique
3930;atlas;atlas
3967;atmosphere;atmosphère
89;atmospheric conditions;conditions atmosphériques
2522;atmospheric pollutant;polluant atmosphérique
2527;atmospheric pollution;pollution atmosphérique
5299;atom;atome
3423;atomic bomb;bombe atomique
5401;ATP Agreement;accord ATP
7889;Attica;Attique
4668;auction sale;vente aux enchères
5477;audio cassette;cassette audio
5191;audiovisual communications policy;politique de l'audiovisuel
5185;audiovisual co-production;coproduction audiovisuelle
487;audiovisual document;document audiovisuel
3855;audiovisual equipment;matériel audiovisuel
1366;audiovisual industry;industrie de l'audiovisuel
5192;audiovisual piracy;piratage audiovisuel
5187;audiovisual production;production audiovisuelle
5186;audiovisual programme;programme audiovisuel
6064;audit;audit
4675;auditing;vérification des comptes
2461;austerity policy;politique d'austérité
4160;Australia;Australie
4353;Austria;Autriche
5254;authorised catch;capture autorisée
3002;authoritarian regime;régime autoritaire
3336;automatic game;jeu automatique
6901;automatic vending machine;distributeur automatique
4253;automation;automatisation
6887;autonomist party;parti autonomiste
5119;autonomous community;communauté autonome
1999;autonomous movement;mouvement autonomiste
5246;Autonomous Province of Bolzano;province autonome de Bolzano
5247;Autonomous Province of Trento;province autonome de Trente
4272;autonomy;autonomie
4364;Auvergne;Auvergne
c_0a700c19;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes
3539;auxiliary worker;travailleur auxiliaire
2127;available energy;offre énergétique
466;available energy resources;disponibilité énergétique
2683;average price;prix moyen
8464;avian influenza;grippe aviaire
3776;aviation fuel;carburant d'aviation
c_c8c80a5b;aviation security;sûreté de l'aviation
20;award of contract;adjudication de marché
4398;axle tax;taxe à l'essieu
5388;axle weight;charge à l'essieu
5454;Azerbaijan;Azerbaïdjan
5076;Azores;Açores
1240;baby food;aliment pour enfant
8506;Bacau;Bacau
6618;backlog of court cases;arriéré judiciaire
3615;backwardness at school;retard scolaire
4560;Baden-Württemberg;Bade-Wurtemberg
5683;bad weather;intempérie
4567;Bahamas;Bahamas
4572;Bahrain;Bahreïn
1272;bailiff;huissier
5031;bakery;boulangerie
4671;balance of payments;balance des paiements
73;balance of payments assistance;concours à la balance des paiements
4644;balance-of-payments deficit;balance déficitaire
4884;balance sheet;bilan
1782;balance-sheet analysis;analyse des bilans
3386;Balearic Islands;Îles Baléares
4679;Bali;Bali
3425;ballistic missile;missile balistique
5064;ballot paper;bulletin de vote
1871;Baltic Sea;mer Baltique
c_12742da8;Baltic Sea region;région de la mer Baltique
5774;Baltic States;pays Baltes
4732;Bangladesh;Bangladesh
4738;bank;banque
3252;bank charges;frais bancaires
408;bank deposit;dépôt bancaire
5044;Bank for International Settlements;Banque des règlements internationaux
2149;banking;activité bancaire
2447;banking policy;politique bancaire
3612;banking profession;profession de la banque
3994;banking secrecy;secret bancaire
3251;banking supervision;contrôle bancaire
4356;banking system;système bancaire
960;bankruptcy;faillite
7837;Banská Bystrica region;région de Banská Bystrica
4819;bar;barre
4816;Barbados;Barbade
c_1c2d26cf;Barents Sea;mer de Barents
2316;barge;péniche
2044;barge carrier ship;navire porte-barge
2193;barley;orge
2597;barring of penalties by limitation;prescription de peine
4573;barter;troc
672;basic education;éducation de base
6781;basic needs;besoins fondamentaux
2650;basic price;prix de base
3670;basic research;recherche fondamentale
4823;Basilicata;Basilicate
2900;basis of tax assessment;assiette de l'impôt
2225;basket of currencies;panier de monnaies
2289;Basque Country;Pays basque
600;bathing water;eau de baignade
3755;bauxite;bauxite
4835;Bavaria;Bavière
8445;bear;ours
3759;bearing;roulement
4682;beef;viande bovine
5012;beef animal;bœuf
4883;beer;bière
4317;beet sugar;sucre de betterave
3928;behavioural sciences;sciences du comportement
5458;Belarus;Biélorussie
5517;Belgian communities;communautés de Belgique
4839;Belgium;Belgique
4588;Belgo-Luxembourg Economic Union;Union économique belgo-luxembourgeoise
4841;Belize;Belize
6362;benchmarking;étalonnage des performances
4844;Benelux;Benelux
4845;Benelux countries;pays du Benelux
4846;Benin;Bénin
4847;Berlin;Berlin
4848;Bermuda;Bermudes
3835;beryllium;béryllium
4859;BEUC;BEUC
5017;beverage;boisson
1378;beverage industry;industrie des boissons
4862;Bhutan;Bhoutan
4864;bibliography;bibliographie
4871;bicameral system;bicamérisme
c_bf1e2c81;big data;mégadonnées
8511;Bihor;Bihor
3462;bilateral agreement;accord bilatéral
845;bilateral aid;aide bilatérale
3196;bilateral relations;relation bilatérale
4888;bilingualism;bilinguisme
4889;biochemistry;biochimie
6385;bioclimatology;bioclimatologie
4890;bioconversion;bioconversion
4891;biodegradability;biodégradabilité
5463;biodiversity;biodiversité
4892;bioenergy;bioénergie
5169;bio-ethics;bioéthique
8412;biofuel;biocarburant
4900;biogas;biogaz
4905;biography;biographie
3796;bio-industry;bio-industrie
2080;biological standard;norme biologique
3419;biological weapon;arme biologique
4921;biology;biologie
4930;biomass;biomasse
3697;biomaterials;biomatériau
7410;biometrics;biométrie
3795;bioprocess;bioprocédé
4940;biosphere;biosphère
3797;biotechnology;biotechnologie
5464;biotope;biotope
4959;bipolarisation;bipolarisation
5760;bird;oiseau
3168;birth control;régulation des naissances
2480;birth policy;politique de natalité
2029;births;natalité
4984;biscuit factory;biscuiterie
4990;bismuth;bismuth
8512;Bistrita-Nasaud;Bistrita-Nasaud
3756;bituminous materials;matériau bitumineux
c_623f2583;bivalve mollusc;mollusque bivalve
5736;Black Sea;mer Noire
8333;Blagoevgrad region;région de Blagoevgrad
4751;blank ballot paper;vote blanc
7998;Blekinge county;Blekinge
c_ab84e157;blockchain;chaîne de blocs
8413;blog;blog
5717;blood disease;maladie du sang
5293;blood transfusion;transfusion sanguine
2207;blue-collar worker;ouvrier
1107;blue-veined cheese;fromage à pâte persillée
5687;boarding school;internat scolaire
115;board of directors;conseil d'administration
447;board of management;conseil de direction
c_4768a12e;Body of European Regulators for Electronic Communications;Organe des régulateurs européens des communications électroniques
5397;boiler;chaudière
5020;Bolivia;Bolivie
3825;bolt and screw industry;boulonnerie visserie
5468;bomber;bombardier
5022;Bonaire;Bonaire
451912;Bonaire, Saint Eustatius and Saba;Bonaire, Saint-Eustache et Saba
2098;bond;obligation financière
3884;bonded wood;bois aggloméré
4688;boned meat;viande désossée
2619;bonus payment;prime de salaire
1629;bookshop;librairie
1392;book trade;industrie du livre
5540;border control;contrôle à la frontière
1213;border war;guerre de frontière
6323;boreal forest;forêt boréale
5026;Borneo;Bornéo
5027;Bornholm (regional municipality);Bornholm (municipalité régionale)
736;borrowing;emprunt
5469;Bosnia and Herzegovina;Bosnie-Herzégovine
5028;botany;botanique
8505;Botosani;Botosani
5029;Botswana;Botswana
4719;bottled wine;vin en bouteille
722;bottling;embouteillage
c_f2f1fb47;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté
6112;bovine spongiform encephalopathy;encéphalopathie spongiforme bovine
2633;bracket price;prix à fourchette
3266;bracket rate;tarif à fourchette
8528;Braila;Braila
934;brain drain;exode des compétences
4313;branch;succursale
5985;branch of activity;activité de l'entreprise
5470;Brandenburg;Brandebourg
3661;brand name;marque commerciale
8500;Brasov;Brasov
7830;Bratislava region;région de Bratislava
5040;Brazil;Brésil
1498;breach of domicile;inviolabilité du domicile
2;breach of trust;abus de confiance
2221;bread;pain
2226;bread-making;panification
4234;breadwinner;soutien de famille
4341;breeder reactor;surrégénérateur
1929;breeding animal;animal reproducteur
5039;Bremen;Brême
1858;Bretton Woods Agreement;accord de Bretton Woods
6821;brick;brique
c_964c9649;BRICS countries;pays BRICS
8452;bridge;pont
8371;British Antarctic Territory;territoire britannique de l'Antarctique
8373;British Indian Ocean Territory;territoire britannique de l'océan Indien
1299;British Virgin Islands;Îles Vierges britanniques
2024;British West Indies;Antilles anglaises
5041;Brittany;Bretagne
2883;broadcasting;radiodiffusion
4698;broadcast videography;vidéographie diffusée
263;broker;courtier
5046;bromine;brome
6182;browser;logiciel de navigation
5047;brucellosis;brucellose
5049;Brunei;Brunei
3039;Brussels region;Région de Bruxelles-Capitale
8490;Bucharest — Ilfov;Bucarest — Ilfov
3898;buckwheat;sarrasin
5030;Buddhism;bouddhisme
7339;Buddhist;bouddhiste
6730;Buddhist law;droit bouddhique
5050;budget;budget
3253;budget appropriation;crédit budgétaire
1959;budgetary amendment;modification budgétaire
917;budgetary assessment;évaluation budgétaire
2067;budgetary classification;nomenclature budgétaire
173;budgetary control;contrôle budgétaire
6028;budgetary cooperation;collaboration budgétaire
341;budgetary discharge;décharge du budget
5590;budgetary discipline (EU);discipline budgétaire (UE)
843;budgetary equilibrium;équilibre budgétaire
394;budgetary expenditure;dépense budgétaire
2574;budgetary power;pouvoir budgétaire
2698;budgetary procedure;procédure budgétaire
5866;budgetary reserve (EU);réserve budgétaire (UE)
3558;budgetary resources;ressources budgétaires
4241;budgetary specification;spécialité budgétaire
5904;budgetary stabiliser;stabilisateur budgétaire
4301;budget authorisation;autorisation budgétaire
368;budget deficit;déficit budgétaire
2615;budget estimate;prévision budgétaire
1012;budget financing;financement du budget
2448;budget policy;politique budgétaire
1824;budget volume;masse budgétaire
4685;buffalo meat;viande de buffle
4290;buffer stock;stock régulateur
4831;building;bâtiment
3879;building industry;industrie du bâtiment
1514;building insulation;isolation de bâtiment
1826;building materials;matériau de construction
2327;building permit;permis de construire
4442;building plot;terrain à bâtir
3134;building regulations;réglementation de la construction
5309;building safety;sécurité des bâtiments
4414;building services;équipement du bâtiment
3881;building slab;panneau de construction
4243;building speculation;spéculation immobilière
775;building subsidy;aide à la construction
6916;building technique;technique de construction
490;built-up area;agglomération
1603;bulb vegetable;légume à bulbe
5063;Bulgaria;Bulgarie
2756;bulk product;produit en vrac
4388;bull;taureau
5068;bureau of parliament;bureau du Parlement
4174;Bureau of the EP;bureau du PE
8329;Burgas region;région de Bourgas
6196;Burgenland;Burgenland
5032;Burgundy;Bourgogne
1236;Burkina Faso;Burkina
4966;Burma/Myanmar;Birmanie/Myanmar
5072;Burundi;Burundi
4197;bus;autobus
4703;business activity;vie de l'entreprise
644;business administration;économie de l'entreprise
c_de4d6f2f;business cluster;pôle d’entreprises
1427;business data processing;informatique de gestion
6148;BusinessEurope;Businesseurope
4606;business lease;bail commercial
1307;business location;implantation d'activité
1156;business management;gestion d'entreprise
7201;business morals;moralité de la vie économique
2889;business name;raison sociale
8450;business park;parc d’activités économiques
2469;business policy;politique de l'entreprise
5205;business start-up;création d'entreprise
4406;business tax;taxe professionnelle
443629;business tourism;tourisme d'affaires
7359;bus station;gare routière
3768;butane;butane
4860;butter;beurre
5073;butter oil;butteroil
1199;buying group;groupement d'achat
8529;Buzau;Buzau
5253;by-catch;capture accessoire
702;by-election;élection partielle
4224;by-product;sous-produit
3260;cabinet reshuffle;remaniement ministériel
4428;cable distribution;télédistribution
4527;cable transport;transport par câble
1844;CACM countries;pays du MCCA
3836;cadmium;cadmium
4587;CAEMC countries;pays de la CEMAC
8369;CAEU countries;pays du CUEA
2117;CAIS countries;pays du SICA
5091;Calabria;Calabre
8522;Calarasi;Calarasi
5304;calcium;calcium
4650;calf;veau
1555;Cambodia;Cambodge
5095;Cameroon;Cameroun
5098;Campania;Campanie
5099;camping;camping
5331;camping vehicle;véhicule de camping
5100;Canada;Canada
4172;Canary Islands;Canaries
5104;cancer;cancer
5105;candidate;candidat
4319;cane sugar;sucre de canne
136;cannery;conserverie
6731;canon law;droit canonique
3385;Cantabria;Cantabrie
5112;capacity to contract;capacité de contracter
5110;capacity to exercise rights;capacité d'exercice
5113;capacity to have rights and obligations;capacité de jouissance
5108;Cape Verde;Cap-Vert
5230;capital city;capitale
409;capital depreciation;dépréciation du capital
1323;capital gains tax;impôt sur la plus-value
3197;capital goods;bien d'équipement
4115;capital increase;augmentation de capital
5156;capital market;marché des capitaux
2002;capital movement;mouvement de capitaux
4493;capital transfer;transfert de capitaux
1324;capital transfer tax;impôt sur la transmission
8518;Caras-Severin;Caras-Severin
5261;carbon;carbone
435061;carbon capture and storage;captage et stockage du dioxyde de carbone
5263;carcase;carcasse
4307;carcinogenic substance;substance cancérigène
1757;cardiovascular disease;maladie cardio-vasculaire
7946;care allowance;allocation de soins
